video_id,distance,num_of_points,normalized_distance
1,73.5,180.0,0.4083333333333333
2,92.5,152.0,0.6085526315789473
3,90.5,239.0,0.3786610878661088
4,191.5,294.0,0.6513605442176871
5,179.0,266.0,0.6729323308270677
6,158.5,195.0,0.8128205128205128
7,97.0,175.0,0.5542857142857143
8,110.0,142.0,0.7746478873239436
9,84.0,115.0,0.7304347826086957
10,72.0,127.0,0.5669291338582677
11,48.5,48.0,1.0104166666666667
12,59.5,117.0,0.5085470085470085
13,65.0,166.0,0.39156626506024095
14,93.0,191.0,0.4869109947643979
15,69.5,195.0,0.3564102564102564
16,64.0,133.0,0.48120300751879697
17,63.0,201.0,0.31343283582089554
18,66.0,132.0,0.5
19,81.0,129.0,0.627906976744186
20,63.5,122.0,0.5204918032786885
21,54.5,76.0,0.7171052631578947
22,61.5,57.0,1.0789473684210527
23,119.0,237.0,0.5021097046413502
24,120.0,225.0,0.5333333333333333
25,110.5,273.0,0.40476190476190477
26,319.0,223.0,1.4304932735426008
27,67.5,112.0,0.6026785714285714
28,50.0,71.0,0.704225352112676
29,88.5,71.0,1.2464788732394365
30,65.5,108.0,0.6064814814814815
31,185.5,122.0,1.5204918032786885
32,120.5,88.0,1.3693181818181819
33,169.5,281.0,0.603202846975089
34,41.0,32.0,1.28125
35,31.0,2.0,15.5
36,25.5,1.0,25.5
37,79.0,48.0,1.6458333333333333
38,76.0,92.0,0.8260869565217391
39,103.5,73.0,1.417808219178082
40,75.0,60.0,1.25
41,65.0,57.0,1.1403508771929824
42,52.5,108.0,0.4861111111111111
43,108.0,206.0,0.5242718446601942
44,86.5,201.0,0.43034825870646765
45,135.0,180.0,0.75
46,104.5,102.0,1.0245098039215685
47,111.5,70.0,1.5928571428571427
48,84.0,159.0,0.5283018867924528
49,136.0,275.0,0.49454545454545457
50,109.0,280.0,0.3892857142857143
51,82.0,177.0,0.4632768361581921
52,58.5,100.0,0.585
53,62.5,102.0,0.6127450980392157
54,62.0,88.0,0.7045454545454546
55,74.0,130.0,0.5692307692307692
56,84.5,147.0,0.5748299319727891
57,83.5,157.0,0.5318471337579618
58,120.0,313.0,0.38338658146964855
59,92.5,184.0,0.5027173913043478
60,51.5,88.0,0.5852272727272727
61,93.0,158.0,0.5886075949367089
62,0.0,0.0,0
63,90.0,161.0,0.5590062111801242
64,95.5,97.0,0.9845360824742269
65,83.5,86.0,0.9709302325581395
66,74.0,77.0,0.961038961038961
67,87.0,10.0,8.7
68,0.0,0.0,0
69,240.0,119.0,2.0168067226890756
70,124.0,135.0,0.9185185185185185
71,20.0,13.0,1.5384615384615385
72,18.5,3.0,6.166666666666667
73,0.0,0.0,0
74,119.0,96.0,1.2395833333333333
75,55.0,55.0,1.0
76,30.5,20.0,1.525
77,65.5,159.0,0.4119496855345912
78,130.0,85.0,1.5294117647058822
79,100.5,145.0,0.6931034482758621
80,194.5,237.0,0.820675105485232
81,108.0,169.0,0.6390532544378699
82,0.0,0.0,0
83,0.0,0.0,0
84,0.0,0.0,0
85,129.5,175.0,0.74
86,0.0,0.0,0
87,141.5,235.0,0.6021276595744681
88,125.5,166.0,0.7560240963855421
89,37.0,21.0,1.7619047619047619
90,27.0,9.0,3.0
91,290.0,237.0,1.2236286919831223
92,53.0,22.0,2.409090909090909
93,62.0,11.0,5.636363636363637
94,145.5,192.0,0.7578125
95,182.5,173.0,1.0549132947976878
96,65.5,136.0,0.48161764705882354
97,69.5,80.0,0.86875
98,106.0,180.0,0.5888888888888889
99,65.0,161.0,0.40372670807453415
100,97.5,198.0,0.49242424242424243
101,93.5,113.0,0.827433628318584
102,99.5,204.0,0.4877450980392157
103,69.0,143.0,0.4825174825174825
104,160.0,280.0,0.5714285714285714
105,89.0,169.0,0.5266272189349113
106,79.5,9.0,8.833333333333334
107,124.5,98.0,1.2704081632653061
108,143.5,149.0,0.9630872483221476
109,118.0,162.0,0.7283950617283951
110,86.0,287.0,0.29965156794425085
111,65.0,163.0,0.3987730061349693
112,79.5,127.0,0.6259842519685039
113,177.5,200.0,0.8875
114,94.0,166.0,0.5662650602409639
115,91.5,162.0,0.5648148148148148
116,199.0,238.0,0.8361344537815126
117,92.0,148.0,0.6216216216216216
118,44.5,42.0,1.0595238095238095
119,87.5,134.0,0.6529850746268657
120,100.5,182.0,0.5521978021978022
121,68.0,58.0,1.1724137931034482
122,75.5,68.0,1.1102941176470589
123,61.5,170.0,0.36176470588235293
124,23.5,1.0,23.5
125,26.5,17.0,1.5588235294117647
126,54.5,40.0,1.3625
127,91.5,153.0,0.5980392156862745
128,97.0,148.0,0.6554054054054054
129,70.5,136.0,0.5183823529411765
130,69.5,119.0,0.5840336134453782
131,84.5,187.0,0.45187165775401067
132,87.0,142.0,0.6126760563380281
133,104.5,155.0,0.6741935483870968
134,114.0,172.0,0.6627906976744186
135,122.5,110.0,1.1136363636363635
136,0.0,0.0,0
137,0.0,0.0,0
138,0.0,0.0,0
139,63.0,137.0,0.45985401459854014
140,25.0,4.0,6.25
141,54.5,115.0,0.47391304347826085
142,27.0,4.0,6.75
143,0.0,0.0,0
144,156.5,76.0,2.0592105263157894
145,98.5,78.0,1.2628205128205128
146,67.0,62.0,1.0806451612903225
147,124.0,290.0,0.42758620689655175
148,21.0,1.0,21.0
149,93.0,158.0,0.5886075949367089
150,24.5,2.0,12.25
151,0.0,0.0,0
152,207.0,123.0,1.6829268292682926
153,0.0,0.0,0
154,0.0,0.0,0
155,0.0,0.0,0
156,51.5,120.0,0.42916666666666664
157,61.0,131.0,0.46564885496183206
158,59.5,151.0,0.39403973509933776
159,131.0,135.0,0.9703703703703703
160,100.0,140.0,0.7142857142857143
161,127.0,224.0,0.5669642857142857
162,68.5,143.0,0.479020979020979
163,65.5,131.0,0.5
164,88.5,162.0,0.5462962962962963
165,31.5,21.0,1.5
166,47.5,56.0,0.8482142857142857
167,47.5,64.0,0.7421875
168,120.0,309.0,0.3883495145631068
169,76.0,136.0,0.5588235294117647
170,72.0,149.0,0.48322147651006714
171,110.5,193.0,0.572538860103627
172,59.0,92.0,0.6413043478260869
173,24.5,2.0,12.25
174,47.0,64.0,0.734375
175,141.0,227.0,0.6211453744493393
176,115.5,132.0,0.875
177,42.5,53.0,0.8018867924528302
178,106.5,146.0,0.7294520547945206
179,62.0,153.0,0.40522875816993464
180,0.0,0.0,0
181,55.5,120.0,0.4625
182,61.5,106.0,0.5801886792452831
183,103.0,213.0,0.4835680751173709
184,63.5,135.0,0.4703703703703704
185,79.0,115.0,0.6869565217391305
186,100.5,247.0,0.4068825910931174
187,96.0,230.0,0.41739130434782606
188,128.0,167.0,0.7664670658682635
189,76.5,104.0,0.7355769230769231
190,82.5,113.0,0.7300884955752213
191,38.5,25.0,1.54
192,55.0,57.0,0.9649122807017544
193,134.0,190.0,0.7052631578947368
194,230.5,204.0,1.1299019607843137
195,239.0,235.0,1.0170212765957447
196,252.5,207.0,1.2198067632850242
197,68.5,115.0,0.5956521739130435
198,67.5,154.0,0.4383116883116883
199,65.5,176.0,0.3721590909090909
200,131.0,59.0,2.2203389830508473
201,197.0,226.0,0.8716814159292036
202,77.0,102.0,0.7549019607843137
203,77.5,199.0,0.38944723618090454
204,76.0,194.0,0.3917525773195876
205,89.5,203.0,0.4408866995073892
206,37.0,19.0,1.9473684210526316
207,41.5,45.0,0.9222222222222223
208,0.0,0.0,0
209,73.5,117.0,0.6282051282051282
210,24.5,10.0,2.45
211,0.0,0.0,0
212,90.0,88.0,1.0227272727272727
213,83.0,78.0,1.064102564102564
214,62.0,65.0,0.9538461538461539
215,104.5,150.0,0.6966666666666667
216,62.0,98.0,0.6326530612244898
217,0.0,0.0,0
218,82.0,201.0,0.4079601990049751
219,102.5,254.0,0.4035433070866142
220,73.5,171.0,0.4298245614035088
221,145.5,207.0,0.7028985507246377
222,79.0,116.0,0.6810344827586207
223,21.5,4.0,5.375
224,119.0,260.0,0.4576923076923077
225,112.0,251.0,0.44621513944223107
226,135.5,254.0,0.5334645669291339
227,44.5,31.0,1.435483870967742
228,152.0,132.0,1.1515151515151516
229,93.0,162.0,0.5740740740740741
230,51.0,73.0,0.6986301369863014
231,52.0,57.0,0.9122807017543859
232,69.5,110.0,0.6318181818181818
233,0.0,0.0,0
234,0.0,0.0,0
235,0.0,0.0,0
236,113.5,183.0,0.6202185792349727
237,91.0,146.0,0.6232876712328768
238,155.0,193.0,0.8031088082901554
239,31.0,4.0,7.75
240,55.5,4.0,13.875
241,50.0,7.0,7.142857142857143
242,96.0,162.0,0.5925925925925926
243,133.5,240.0,0.55625
244,63.5,77.0,0.8246753246753247
245,77.5,127.0,0.610236220472441
246,136.0,265.0,0.5132075471698113
247,63.5,109.0,0.5825688073394495
248,44.0,4.0,11.0
249,284.0,80.0,3.55
250,200.5,99.0,2.025252525252525
251,176.5,158.0,1.1170886075949367
252,209.0,262.0,0.7977099236641222
253,224.5,291.0,0.7714776632302406
254,92.0,164.0,0.5609756097560976
255,96.0,30.0,3.2
256,60.5,71.0,0.852112676056338
257,152.0,86.0,1.7674418604651163
258,112.5,190.0,0.5921052631578947
259,150.5,268.0,0.5615671641791045
260,121.0,100.0,1.21
261,62.5,133.0,0.4699248120300752
262,65.5,84.0,0.7797619047619048
263,77.0,189.0,0.4074074074074074
264,91.5,146.0,0.6267123287671232
265,224.5,308.0,0.7288961038961039
266,301.5,155.0,1.9451612903225806
267,75.5,134.0,0.5634328358208955
268,65.0,124.0,0.5241935483870968
269,66.5,147.0,0.4523809523809524
270,55.5,1.0,55.5
271,133.5,18.0,7.416666666666667
272,67.5,3.0,22.5
273,70.0,112.0,0.625
274,56.5,45.0,1.2555555555555555
275,87.0,220.0,0.39545454545454545
276,0.0,0.0,0
277,0.0,0.0,0
278,65.0,123.0,0.5284552845528455
